Variables=x,y,u,v,Potential,Velocity,Velocity_B
Zone n=288,e=512,f=fepoint,et=triangle
-0.501031	0.749846	1.097027	0.233432	1.590377	1.121587	0.000000
-0.637691	0.637691	1.000336	0.252664	1.415211	1.031752	0.000000
-0.749846	0.501031	0.903646	0.233432	1.271456	0.933309	0.000000
-0.833184	0.345116	0.821675	0.178661	1.164636	0.840874	0.000000
-0.884503	0.175939	0.766904	0.096691	1.098857	0.772975	0.000000
-0.901832	-0.000000	0.747671	-0.000000	1.076646	0.747671	0.000000
-0.884503	-0.175939	0.766904	-0.096691	1.098857	0.772975	0.000000
-0.833184	-0.345116	0.821675	-0.178661	1.164636	0.840875	0.000000
-0.749846	-0.501031	0.903646	-0.233431	1.271456	0.933309	0.000000
-0.637691	-0.637691	1.000336	-0.252664	1.415211	1.031752	0.000000
-0.501031	-0.749846	1.097027	-0.233432	1.590377	1.121587	0.000000
-0.345116	-0.833184	1.178998	-0.178662	1.790223	1.192458	0.000000
-0.175939	-0.884503	1.233769	-0.096691	2.007068	1.237552	0.000000
0.000000	-0.901832	1.253002	0.000000	2.232580	1.253002	0.000000
0.175939	-0.884503	1.233769	0.096691	2.458092	1.237552	0.000000
0.345116	-0.833184	1.178998	0.178662	2.674937	1.192458	0.000000
0.501031	-0.749846	1.097027	0.233432	2.874783	1.121587	0.000000
0.637691	-0.637691	1.000336	0.252664	3.049949	1.031752	0.000000
0.749846	-0.501031	0.903646	0.233432	3.193705	0.933309	0.000000
0.833184	-0.345116	0.821675	0.178661	3.300525	0.840874	0.000000
0.884503	-0.175938	0.766904	0.096691	3.366304	0.772975	0.000000
1.359670	0.133916	0.894659	-0.021074	3.757913	0.894907	0.000000
1.307420	0.396602	0.910788	-0.060014	3.699296	0.912763	0.000000
1.204930	0.644047	0.940592	-0.089818	3.584318	0.944870	0.000000
1.056130	0.866742	0.979532	-0.105947	3.417388	0.985245	0.000000
0.866742	1.056130	1.021680	-0.105947	3.204926	1.027159	0.000000
0.644047	1.204930	1.060620	-0.089818	2.955097	1.064416	0.000000
0.396602	1.307420	1.090424	-0.060014	2.677504	1.092074	0.000000
0.133916	1.359670	1.106553	-0.021074	2.382813	1.106754	0.000000
-0.133916	1.359670	1.106553	0.021074	2.082348	1.106754	0.000000
-0.396602	1.307420	1.090424	0.060014	1.787656	1.092074	0.000000
-0.644047	1.204930	1.060620	0.089818	1.510063	1.064416	0.000000
-0.866742	1.056130	1.021680	0.105947	1.260235	1.027159	0.000000
-1.056130	0.866742	0.979532	0.105947	1.047772	0.985245	0.000000
-1.204930	0.644047	0.940592	0.089818	0.880842	0.944870	0.000000
-1.307420	0.396602	0.910788	0.060014	0.765864	0.912763	0.000000
-1.359670	0.133916	0.894659	0.021074	0.707248	0.894907	0.000000
-1.359670	-0.133916	0.894659	-0.021074	0.707248	0.894907	0.000000
-1.307420	-0.396602	0.910788	-0.060014	0.765864	0.912763	0.000000
-1.204930	-0.644047	0.940592	-0.089818	0.880842	0.944870	0.000000
-1.056130	-0.866742	0.979532	-0.105947	1.047772	0.985245	0.000000
-0.866742	-1.056130	1.021680	-0.105947	1.260235	1.027159	0.000000
-0.644047	-1.204930	1.060620	-0.089818	1.510063	1.064416	0.000000
-0.396602	-1.307420	1.090424	-0.060014	1.787656	1.092074	0.000000
-0.133916	-1.359670	1.106553	-0.021074	2.082348	1.106754	0.000000
0.133916	-1.359670	1.106553	0.021074	2.382813	1.106754	0.000000
0.396602	-1.307420	1.090424	0.060014	2.677504	1.092074	0.000000
0.644047	-1.204930	1.060620	0.089818	2.955097	1.064416	0.000000
0.866742	-1.056130	1.021680	0.105947	3.204926	1.027159	0.000000
1.056130	-0.866742	0.979532	0.105947	3.417388	0.985245	0.000000
1.204930	-0.644047	0.940592	0.089818	3.584318	0.944870	0.000000
1.307420	-0.396602	0.910788	0.060014	3.699296	0.912763	0.000000
1.359670	-0.133916	0.894659	0.021074	3.757913	0.894907	0.000000
2.201480	0.000000	0.959553	-0.000000	4.537392	0.959553	0.000000
2.159170	0.429487	0.962681	-0.015727	4.493096	0.962810	0.000000
2.033900	0.842468	0.971590	-0.029060	4.361946	0.972024	0.000000
1.830460	1.223070	0.984923	-0.037968	4.148957	0.985654	0.000000
1.556680	1.556680	1.000650	-0.041097	3.862327	1.001493	0.000000
1.223070	1.830460	1.016377	-0.037968	3.513058	1.017085	0.000000
0.842468	2.033900	1.029709	-0.029060	3.114591	1.030119	0.000000
0.429486	2.159170	1.038618	-0.015727	2.682225	1.038737	0.000000
-0.000000	2.201480	1.041746	0.000000	2.232580	1.041746	0.000000
-0.429487	2.159170	1.038618	0.015727	1.782934	1.038737	0.000000
-0.842468	2.033900	1.029709	0.029060	1.350569	1.030119	0.000000
-1.223070	1.830460	1.016377	0.037968	0.952103	1.017085	0.000000
-1.556680	1.556680	1.000650	0.041097	0.602834	1.001493	0.000000
-1.830460	1.223070	0.984923	0.037968	0.316203	0.985654	0.000000
-2.033900	0.842468	0.971590	0.029060	0.103215	0.972024	0.000000
-2.159170	0.429486	0.962681	0.015727	-0.027936	0.962810	0.000000
-2.201480	-0.000000	0.959553	-0.000000	-0.072231	0.959553	0.000000
-2.159170	-0.429487	0.962681	-0.015727	-0.027936	0.962810	0.000000
-2.033900	-0.842468	0.971590	-0.029060	0.103215	0.972024	0.000000
-1.830460	-1.223070	0.984923	-0.037968	0.316203	0.985654	0.000000
-1.556680	-1.556680	1.000650	-0.041097	0.602834	1.001493	0.000000
-1.223070	-1.830460	1.016377	-0.037968	0.952103	1.017085	0.000000
-0.842468	-2.033900	1.029709	-0.029060	1.350569	1.030119	0.000000
-0.429486	-2.159170	1.038618	-0.015727	1.782935	1.038737	0.000000
0.000000	-2.201480	1.041746	0.000000	2.232581	1.041746	0.000000
0.429487	-2.159170	1.038618	0.015727	2.682226	1.038737	0.000000
0.842468	-2.033900	1.029709	0.029060	3.114591	1.030119	0.000000
1.223070	-1.830460	1.016377	0.037968	3.513058	1.017085	0.000000
1.556680	-1.556680	1.000650	0.041097	3.862327	1.001493	0.000000
1.830460	-1.223070	0.984923	0.037968	4.148957	0.985654	0.000000
2.033900	-0.842468	0.971590	0.029060	4.361946	0.972024	0.000000
2.159170	-0.429486	0.962681	0.015727	4.493096	0.962810	0.000000
3.685720	0.363012	0.986518	-0.002812	5.980637	0.986522	0.000000
3.544080	1.075080	0.988670	-0.008008	5.836601	0.988703	0.000000
3.266240	1.745840	0.992647	-0.011985	5.554062	0.992719	0.000000
2.862880	2.349510	0.997843	-0.014137	5.143880	0.997943	0.000000
2.349510	2.862880	1.003467	-0.014137	4.621828	1.003566	0.000000
1.745840	3.266240	1.008663	-0.011985	4.007948	1.008734	0.000000
1.075080	3.544080	1.012640	-0.008008	3.325843	1.012671	0.000000
0.363011	3.685720	1.014792	-0.002812	2.601731	1.014796	0.000000
-0.363012	3.685720	1.014792	0.002812	1.863429	1.014796	0.000000
-1.075080	3.544080	1.012640	0.008008	1.139318	1.012671	0.000000
-1.745840	3.266240	1.008663	0.011985	0.457213	1.008734	0.000000
-2.349510	2.862880	1.003467	0.014137	-0.156667	1.003566	0.000000
-2.862880	2.349510	0.997843	0.014137	-0.678719	0.997943	0.000000
-3.266240	1.745840	0.992647	0.011985	-1.088902	0.992719	0.000000
-3.544080	1.075080	0.988670	0.008008	-1.371441	0.988703	0.000000
-3.685720	0.363011	0.986518	0.002812	-1.515476	0.986522	0.000000
-3.685720	-0.363012	0.986518	-0.002812	-1.515476	0.986522	0.000000
-3.544080	-1.075080	0.988670	-0.008008	-1.371441	0.988703	0.000000
-3.266240	-1.745840	0.992647	-0.011985	-1.088902	0.992719	0.000000
-2.862880	-2.349510	0.997843	-0.014137	-0.678719	0.997943	0.000000
-2.349510	-2.862880	1.003467	-0.014137	-0.156667	1.003566	0.000000
-1.745840	-3.266240	1.008663	-0.011985	0.457213	1.008734	0.000000
-1.075080	-3.544080	1.012640	-0.008008	1.139318	1.012671	0.000000
-0.363011	-3.685720	1.014792	-0.002812	1.863430	1.014796	0.000000
0.363012	-3.685720	1.014792	0.002812	2.601732	1.014796	0.000000
1.075080	-3.544080	1.012640	0.008008	3.325843	1.012671	0.000000
1.745840	-3.266240	1.008663	0.011985	4.007948	1.008734	0.000000
2.349510	-2.862880	1.003467	0.014137	4.621828	1.003566	0.000000
2.862880	-2.349510	0.997843	0.014137	5.143880	0.997943	0.000000
3.266240	-1.745840	0.992647	0.011985	5.554062	0.992719	0.000000
3.544080	-1.075080	0.988670	0.008008	5.836601	0.988703	0.000000
3.685720	-0.363011	0.986518	0.002812	5.980637	0.986522	0.000000
6.404910	0.000000	0.995857	-0.000000	8.676375	0.995857	0.000000
6.281840	1.249540	0.996222	-0.001836	8.552558	0.996224	0.000000
5.917370	2.451050	0.997262	-0.003393	8.185875	0.997268	0.000000
5.325490	3.558380	0.998819	-0.004434	7.590402	0.998829	0.000000
4.528960	4.528960	1.000655	-0.004799	6.789036	1.000667	0.000000
3.558380	5.325490	1.002492	-0.004434	5.812563	1.002502	0.000000
2.451050	5.917370	1.004049	-0.003393	4.698511	1.004054	0.000000
1.249540	6.281840	1.005089	-0.001836	3.489706	1.005091	0.000000
-0.000000	6.404910	1.005454	0.000000	2.232580	1.005454	0.000000
-1.249540	6.281840	1.005089	0.001836	0.975454	1.005091	0.000000
-2.451050	5.917370	1.004049	0.003393	-0.233350	1.004054	0.000000
-3.558380	5.325490	1.002492	0.004434	-1.347403	1.002502	0.000000
-4.528960	4.528960	1.000655	0.004799	-2.323875	1.000667	0.000000
-5.325490	3.558380	0.998819	0.004434	-3.125241	0.998829	0.000000
-5.917370	2.451050	0.997262	0.003393	-3.720714	0.997268	0.000000
-6.281840	1.249540	0.996222	0.001836	-4.087397	0.996224	0.000000
-6.404910	-0.000001	0.995857	-0.000000	-4.211214	0.995857	0.000000
-6.281840	-1.249540	0.996222	-0.001836	-4.087397	0.996224	0.000000
-5.917370	-2.451050	0.997262	-0.003393	-3.720714	0.997268	0.000000
-5.325490	-3.558380	0.998819	-0.004434	-3.125241	0.998829	0.000000
-4.528960	-4.528960	1.000655	-0.004799	-2.323875	1.000667	0.000000
-3.558380	-5.325490	1.002492	-0.004434	-1.347403	1.002502	0.000000
-2.451050	-5.917370	1.004049	-0.003393	-0.233350	1.004054	0.000000
-1.249540	-6.281840	1.005089	-0.001836	0.975454	1.005091	0.000000
0.000001	-6.404910	1.005454	0.000000	2.232581	1.005454	0.000000
1.249540	-6.281840	1.005089	0.001836	3.489706	1.005091	0.000000
2.451050	-5.917370	1.004049	0.003393	4.698511	1.004054	0.000000
3.558380	-5.325490	1.002492	0.004434	5.812563	1.002502	0.000000
